dueling_double_reward,dueling_double_loss,dueling_double_max_q_value,dueling_double_avg_q_value,dueling_double_steps,dueling_double_clipped_reward,d3qn_per_reward,d3qn_per_loss,d3qn_per_max_q_value,d3qn_per_avg_q_value,d3qn_per_steps,d3qn_per_clipped_reward
-20.0,0.8725489281350747,0.0296713486313819,-0.5288750472039558,974,-1,-21.0,0.4269588529714383,0.4479709267616272,-0.5452221577758328,789,-1
-21.0,0.7563584692543373,0.009910324588418,-0.5270391496672284,900,-1,-19.0,0.5764156733057462,1.32262122631073,-0.3689882330619565,1099,-1
-20.0,0.7304295558715239,0.0441611483693122,-0.5233050115092331,840,-1,-21.0,0.45949032629141584,0.4628494083881378,-0.3976004644304914,881,-1
-21.0,0.6200590904336423,-0.0064795548096299,-0.5828390762104119,780,-1,-21.0,0.44246815174119547,0.42498674988746643,-0.4542024505158635,881,-1
-21.0,0.6706601277692243,0.0153573229908943,-0.6073024078099323,840,-1,-20.0,0.5019560207147151,0.7742082476615906,-0.42648263134590403,960,-1
-21.0,0.6273365503875539,0.0076493611559271,-0.650201256446929,789,-1,-21.0,0.47701091784983873,0.5352838039398193,-0.6035736992829788,821,-1
-19.0,0.8026197766885161,0.0215767361223697,-0.5296853433964942,965,-1,-21.0,0.4781015167827718,0.33659741282463074,-0.587417615482625,882,-1
-19.0,0.8528021745150909,0.0714834630489349,-0.5395420234932908,1076,-1,-20.0,0.44046761031495407,0.6533811092376709,-0.47717689592945317,839,-1
-20.0,0.8955250207800418,0.0878331661224365,-0.5056793846881711,1111,-1,-19.0,0.47366999654332176,0.7204497456550598,-0.4640919755155284,995,-1
-20.0,0.8500345352804288,0.050464566797018,-0.6015778090859913,1042,-1,-18.0,0.5986148507799953,0.7675122618675232,-0.4150366941777666,1164,-1
-18.0,0.9278882495127618,0.0076135378330945,-0.5292203477444821,1148,-1,-20.0,0.4879653306561522,0.6142832636833191,-0.45459158653413695,964,-1
-18.0,0.8657039495301433,0.0112516786903142,-0.5497841556005154,1090,-1,-20.0,0.562778040592093,0.529542088508606,-0.40473688573670497,1054,-1
-21.0,0.9061584630981088,-0.0256203729659318,-0.544069161945406,1012,-1,-20.0,0.623319634993095,0.5514140725135803,-0.39057394398734335,1084,-1
-20.0,1.0596395671600476,-0.0177556090056896,-0.5491232205705711,1170,-1,-20.0,0.6408227406791411,0.5396275520324707,-0.46884082273178895,1043,-1
