vanilla_reward,vanilla_loss,vanilla_max_q_value,vanilla_avg_q_value,vanilla_steps,vanilla_clipped_reward,double_reward,double_loss,double_max_q_value,double_avg_q_value,double_steps,double_clipped_reward
-21.0,0.5985092929331586,0.1969973742961883,-0.2136062608026948,869,-1,-20.0,0.8449523103772663,-0.07369638234376907,-0.39028455032145276,974,-1
-19.0,0.7144576090504415,0.2642805874347687,-0.204193523910628,945,-1,-20.0,0.6754402223741636,-0.07787571102380753,-0.3652065330277687,918,-1
-21.0,0.7692782515077852,0.3039655983448028,-0.163707136310627,987,-1,-21.0,0.6043544398853555,-0.09720094501972198,-0.4293532972146013,821,-1
-19.0,0.9245360167114997,0.2667329013347626,-0.1957765657054153,1057,-1,-19.0,0.7252723198616877,-0.07135958969593048,-0.4042905828257871,945,-1
-20.0,0.9592780533712356,0.3140153586864471,-0.2439349068389476,927,-1,-19.0,0.8418378481292166,-0.0650518387556076,-0.3757266650838372,1158,-1
-21.0,1.0090549981687218,0.2627524733543396,-0.2421346134856488,868,-1,-20.0,0.6276877644122578,-0.01339370384812355,-0.43660951481854676,946,-1
-21.0,1.1269923779182136,0.262995183467865,-0.2698135069041159,849,-1,-20.0,0.6193521227687597,-0.05730046331882477,-0.5093987378430495,840,-1
-21.0,1.2818244037916884,0.2857075929641723,-0.2442939874799021,978,-1,-21.0,0.6176313440664671,-0.04794520512223244,-0.482290279746306,823,-1
-20.0,1.0532207606593147,0.2265761494636535,-0.3013900564879967,900,-1,-21.0,0.7359231187729165,-0.052095361053943634,-0.4956622296571731,881,-1
-19.0,1.169442902551964,0.2274273037910461,-0.2667428652508329,1014,-1,-20.0,0.7657830282114446,-0.05082690715789795,-0.4992365086673464,839,-1
-21.0,0.765485594747588,0.1946019530296325,-0.372571298186749,779,-1,-19.0,0.9773666968103498,-0.040247928351163864,-0.48702794735719995,1022,-1
-21.0,0.8042178743053228,0.2405010610818863,-0.3169784499223169,849,-1,-19.0,0.954694279236719,-0.04086023569107056,-0.5086741853951358,953,-1
-19.0,0.958862220402807,0.3102041482925415,-0.2810622293964567,1140,-1,-21.0,0.7697456488385797,-0.09152147173881531,-0.5758695714643313,761,-1
-21.0,0.614642804604955,0.2503310143947601,-0.3832538244333496,761,-1,-20.0,0.9095191806554794,-0.001473214477300644,-0.5105570678010971,961,-1
-21.0,0.667888225056231,0.2684580683708191,-0.3849656007080163,789,-1,-21.0,0.7707894431659952,0.030894599854946136,-0.5618585336588973,808,-1
-20.0,0.6588264176389202,0.2766377627849579,-0.3132912222101836,867,-1,-20.0,0.8197021092055365,0.010099273175001144,-0.5476242990586264,864,-1
-17.0,0.8620741266058758,0.3416597247123718,-0.2876777033113675,1178,-1,-19.0,1.012962456094101,-0.016798444092273712,-0.5252868005563323,1099,-1
-21.0,0.735027626156807,0.2675265371799469,-0.3630819392354262,998,-1,-19.0,0.8458527707261965,-0.031141916289925575,-0.5623977026083024,963,-1
-18.0,0.8179574166424572,0.2066834270954132,-0.3734835184298646,1072,-1,-20.0,0.7189828401897103,-0.04593801870942116,-0.6019976729587917,839,-1
-20.0,0.7402432117378339,0.2397803515195846,-0.3996093099500051,927,-1,-18.0,0.9593621008098125,-0.04196707531809807,-0.531315443548605,1113,-1
-20.0,0.6956871302099898,0.1965898722410202,-0.4082128190446145,886,-1,-21.0,0.9251011852174997,-0.04370978847146034,-0.6235129725662808,1016,-1
-20.0,0.675346257747151,0.3325522840023041,-0.4526039478956255,868,-1,-20.0,0.7408929396187887,0.005064874887466431,-0.6659793411340088,867,-1
-20.0,0.6720727968495339,0.2326989769935608,-0.4041935214412639,868,-1,-21.0,0.6233474853215739,-0.1029537171125412,-0.7119349617194508,780,-1
-20.0,0.8048219344345853,0.3305325210094452,-0.4041561987008629,1000,-1,-20.0,0.7489466416882351,-0.09377803653478622,-0.6625206719291694,1041,-1
-20.0,0.8072265996597707,0.3280671238899231,-0.4620718074718472,966,-1,-20.0,0.6612405250198208,-0.12215088307857513,-0.6731035998831052,899,-1
